Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.0031081,0.0152705,0.0198575,0.0203853,0.1949276,,,
0.00357,0.004836,0.0049933,0.0067552,0.0079359,,,
0.0031421,0.0050336,0.0077977,0.0051695,0.0059905,,,
0.0031339,0.0053379,0.0061913,0.0059415,0.0082079,,,
0.0032865,0.0057489,0.006182,0.0052873,0.0070112,,,
0.0030556,0.0058328,0.0068487,0.0055907,0.0066664,,,
0.0032899,0.0049267,0.005389,0.0067943,0.0071987,,,
0.0034602,0.0052824,0.0054455,0.0067072,0.0077858,,,
0.0034467,0.0060857,0.0058781,0.0066584,0.0062231,,,
0.0043926,0.0140455,0.008568,0.0218101,0.1228362,,,
0.0030157,0.0063317,0.0255774,0.033627,0.2535408,,,
0.0279452,0.0115772,0.0063223,0.0066303,0.0056032,,,
0.0033835,0.0067255,0.0057926,0.0063664,0.0074088,,,
0.0031788,0.0052619,0.0060607,0.0062224,0.0060725,,,
0.0035432,0.0060679,0.0047077,0.0061785,0.0054026,,,
0.0031012,0.0166466,0.0057505,0.0066616999999999996,0.0060906,,,
0.0032768,0.0132678,0.0083878,0.0261364,0.0231078,,,
0.0034325,0.006398,0.0060175,0.0057509,0.0072091,,,
0.0041378,0.0061629,0.0051369,0.006035,0.0058142,,,
0.0032143,0.0065247,0.0065176,0.0308118,0.0787499,,,
0.0033176,0.0062692,0.0130438,0.0050475,0.0065604,,,
0.00318,0.0063695,0.0099846,0.0106175,0.0705294,,,
0.0042327,0.005051,0.0063664,0.0068857,0.0062127,,,
0.0033017,0.00501,0.0072999,0.0051648,0.0067048,,,
0.0039522,0.0080371,0.0091623,0.0206935,0.0233507,,,
0.0036297,0.0065837,0.0055365,0.0065477,0.0060896,,,
0.0033592,0.0050176,0.0070393,0.0066795,0.0071501,,,
0.0033931,0.006326,0.0069923,0.0071345,0.0068016,,,
0.0038014,0.01046,0.0079749,0.0088149,0.0789323,,,
0.0034105,0.0072977,0.0100012,0.0219575,0.0068621,,,
0.0036649,0.0057417,0.0164993,0.0058207,0.0070718,,,
0.0033362,0.0054053,0.0050323,0.0070211,0.0060633,,,
0.00398,0.0120207,0.01875,0.0145608,0.0788538,,,
0.0039563,0.00828,0.0089088,0.0099417,0.0770339,,,
