f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
5,25,5,65,15.625,6.25,2.5,1,74.74142718406898,68.60706257763186,68.97272532278862,68.01358729164934,66.34304410014633
5,25,10,60,15.625,6.25,2.5,1,89.05043951259069,79.22646810609334,80.01784098197456,75.91344702557933,75.91344704217826
5,25,15,55,15.625,6.25,2.5,1,101.31453452406134,88.12250015921339,89.37999026930731,83.9734955313032,83.97349554791401
5,25,20,50,15.625,6.25,2.5,1,112.57060888139523,96.15151523529329,97.90788232780676,91.28485165217623,91.28485166879832
5,25,25,45,15.625,6.25,2.5,1,123.21209660439618,103.64078464231847,105.92405714737905,98.13697435349471,98.1369743701263
5,25,30,40,15.625,6.25,2.5,1,133.43660487650126,110.7560045808886,113.59082507093959,104.67552676352082,104.67552678017077
5,25,35,35,15.625,6.25,2.5,1,143.35903430933791,117.59438021080823,121.00277610302035,110.98539734786624,110.98539736452855
5,25,40,30,15.625,6.25,2.5,1,153.05262303505344,124.21847588625775,128.22035827639746,117.1208343410739,117.12083435775492
5,25,45,25,15.625,6.25,2.5,1,162.56711298664223,130.67123239070256,135.28474566849545,123.11878883824821,123.1187888549374
5,25,50,20,15.625,6.25,2.5,1,171.93790167154103,136.9835510574109,142.22533202046247,129.00563983787524,129.00563985458683
5,25,55,15,15.625,6.25,2.5,1,181.19109734316007,143.17849420224803,149.06387215122902,134.80091089540915,134.80091091211645
5,25,60,10,15.625,6.25,2.5,1,190.34651148463365,149.27377883312133,155.81693498914711,140.51947156242522,140.51947157863148
5,25,65,5,15.625,6.25,2.5,1,199.41952872611571,155.28333980809128,162.49743744379393,146.17291393572222,146.17291395246758
5,30,5,60,15.625,6.25,2.5,1,84.41229310921918,71.47769500165839,71.8132264971793,76.65200117726431,68.55033147891567
5,30,10,55,15.625,6.25,2.5,1,93.57924213069393,82.24353087981649,82.97074135836365,78.25459836665465,78.22160549964539
5,30,15,50,15.625,6.25,2.5,1,106.04883812711029,91.3106684933908,92.4682402867113,86.40312161528203,86.40312163193198
5,30,20,45,15.625,6.25,2.5,1,117.4942282482825,99.50331792048618,101.12290858341353,93.82825128000727,93.82825129992094
5,30,25,40,15.625,6.25,2.5,1,128.30679800167076,107.14546970870927,109.25438000585353,100.78384529484478,100.78384531151414
5,30,30,35,15.625,6.25,2.5,1,138.68602740743552,114.40338556836565,117.02579377634476,107.41631064443112,107.41631066111108
5,30,35,30,15.625,6.25,2.5,1,148.74902593807136,121.37541487659522,124.53308299616825,113.81174114086102,113.81174115755181
5,30,40,25,15.625,6.25,2.5,1,158.57097949546727,128.12522495423357,131.83795473336633,120.02551492210574,120.02551493880881
5,30,45,20,15.625,6.25,2.5,1,168.2032532743052,134.6967036654704,138.98265539467243,126.09554543010788,126.09554544682229
5,30,50,15,15.625,6.25,2.5,1,177.68258453292952,141.1215429335335,145.99747117983566,132.04901258773614,132.04901260446846
5,30,55,10,15.625,6.25,2.5,1,187.03619157699893,147.42346275334614,152.90489808234955,137.90610510708092,137.90610512382102
5,30,60,5,15.625,6.25,2.5,1,196.2848131076503,153.6207300687831,159.72212366456682,143.68224772358832,143.6822477403431
5,35,5,55,15.625,6.25,2.5,1,95.37283468393184,75.21845516698252,75.53244761452572,85.227577417242,71.54621367825744
5,35,10,50,15.625,6.25,2.5,1,99.21215430927143,85.86721828737507,86.546443367455,86.8359137689051,81.08868849928737
5,35,15,45,15.625,6.25,2.5,1,111.39204554790626,94.97035078208495,96.05146591934246,89.27695658471526,89.27695660141791
5,35,20,40,15.625,6.25,2.5,1,122.92195475765249,103.23919742238937,104.75253043452992,96.74372388467629,96.74372390138015
5,35,25,35,15.625,6.25,2.5,1,133.8310326241044,110.97081758648073,112.94272405766012,103.75201730388113,103.7520173238459
5,35,30,30,15.625,6.25,2.5,1,144.308360064975,118.32223113976934,120.77620481584597,110.44018379953613,110.44018381625176
5,35,35,25,15.625,6.25,2.5,1,154.4670739325083,125.38801938436029,128.34533166828237,116.89110960727092,116.89110962399542
5,35,40,20,15.625,6.25,2.5,1,164.3807914765099,132.23017601748293,135.7102899021985,123.15880716762248,123.15880718435696
5,35,45,15,15.625,6.25,2.5,1,174.10032297303306,138.89182774980333,142.91268735192975,129.28061684472993,129.2806168614769
5,35,50,10,15.625,6.25,2.5,1,183.66230832262062,145.40433771077352,149.98258231808526,135.28351403657965,135.28351405333854
5,35,55,5,15.625,6.25,2.5,1,193.0940804695765,151.79131322043514,156.9424422191771,141.18766181105025,141.1876618278186
5,40,5,50,15.625,6.25,2.5,1,106.52261194933945,79.58892709277222,79.88703098221464,93.75828205772308,77.59274278178731
5,40,10,45,15.625,6.25,2.5,1,110.30125732963953,89.97791463374531,90.62036812346815,95.37193646336095,84.40289447693615
5,40,15,40,15.625,6.25,2.5,1,117.24530025086389,99.02528329507652,100.04656976496636,96.98863461730608,92.52042586460556
5,40,20,35,15.625,6.25,2.5,1,128.78202396997767,107.30578073921552,108.73478822573642,99.97566463744914,99.97566465419877
5,40,25,30,15.625,6.25,2.5,1,139.72982336055364,115.07798210029665,116.94001261109295,106.99744720550987,106.99744722226566
5,40,30,25,15.625,6.25,2.5,1,150.26013842394053,122.48394572419676,124.80169326366897,113.71092129542458,113.71092131218205
5,40,35,20,15.625,6.25,2.5,1,160.47813149032677,129.61133661383172,132.40545863630706,120.19293295489385,120.19293297140192
5,40,40,15,15.625,6.25,2.5,1,170.4534387520041,136.51858692850575,139.80807695242223,126.49442802481263,126.49442804142703
5,40,45,10,15.625,6.25,2.5,1,180.2347608401822,143.24685268798103,147.04930193975537,132.6510829278123,132.65108294459225
5,40,50,5,15.625,6.25,2.5,1,189.85758468939207,149.82635205997389,154.15814330403455,138.6889320153984,138.68893203219486
5,45,5,45,15.625,6.25,2.5,1,117.80640526505502,85.52273865655937,85.52273865472131,102.25572586670603,85.52273865978526
5,45,10,40,15.625,6.25,2.5,1,121.50120844807668,94.46706908229342,95.08068970431168,103.87424240349688,89.2921009760812
5,45,15,35,15.625,6.25,2.5,1,124.83941022726322,103.4037535404369,104.37728205483725,105.49539136553241,96.06508219316169
5,45,20,30,15.625,6.25,2.5,1,135.00647336927088,111.6516343575017,113.01248119501099,107.11905416671641,103.47273954119149
5,45,25,25,15.625,6.25,2.5,1,145.95052674419847,119.42852351248922,121.20089101894337,110.47943210142398,110.47943211822732
5,45,30,20,15.625,6.25,2.5,1,156.4992680625117,126.85924470355809,129.0649713722274,117.19505976889909,117.19505978571146
5,45,35,15,15.625,6.25,2.5,1,166.74782094187992,134.0229577219266,136.68202197923017,123.68899407433273,123.68899409114331
5,45,40,10,15.625,6.25,2.5,1,176.76043319960442,140.97345084158013,144.1043034197606,130.0081355380547,130.0081355548681
5,45,45,5,15.625,6.25,2.5,1,186.58271525652808,147.74915782730332,151.3689568059578,136.18581592832024,136.18581594418916
5,50,5,40,15.625,6.25,2.5,1,129.18350877055676,93.55164524836133,93.5516452466974,110.72777951276197,93.55164525168414
5,50,10,35,15.625,6.25,2.5,1,132.78839653384648,99.24608222928822,99.83661121252786,112.35071914038457,97.2231108075863
5,50,15,30,15.625,6.25,2.5,1,136.0925790939437,108.04371205274376,108.97843140102225,113.9759584061594,100.58501739521009
5,50,20,25,15.625,6.25,2.5,1,141.53495316284872,116.23068961881211,117.53554518859335,115.60340129017774,107.19001919357922
5,50,25,20,15.625,6.25,2.5,1,152.44550466645546,123.98704754809543,125.68513576094529,117.23295679511938,114.16187398074291
5,50,30,15,15.625,6.25,2.5,1,162.98708315549655,131.4204158615298,133.53270048191953,120.86267991006167,120.86267992691876
5,50,35,10,15.625,6.25,2.5,1,173.2441397616676,138.60100538434094,141.14675626116565,127.35392654955714,127.35392656640991
5,50,40,5,15.625,6.25,2.5,1,183.27490973696473,145.57750314072217,148.57459010688805,133.67805094100117,133.67805095786335
5,55,5,35,15.625,6.25,2.5,1,140.62608638907747,101.64972741366645,101.6497274120645,119.17998333180321,101.64972741701484
5,55,10,30,15.625,6.25,2.5,1,144.14358829988305,105.22705063297443,105.22705063120418,120.80694263086204,105.22705063621359
5,55,15,25,15.625,6.25,2.5,1,147.40801143865875,112.89400358454807,113.79667727258831,122.43592845700965,108.54428375509954
5,55,20,20,15.625,6.25,2.5,1,150.50586791397316,121.00344532672409,122.26164265820901,124.06686190519198,111.69001290682647
5,55,25,15,15.625,6.25,2.5,1,159.17313799504058,128.7223182523085,130.35805018608687,125.69966793437871,118.01363478965234
5,55,30,10,15.625,6.25,2.5,1,169.6892099112054,136.14238212035465,138.17574217077004,127.33427513981337,124.68763186992578
5,55,35,5,15.625,6.25,2.5,1,179.9382269598126,143.3251829609935,145.774725586643,131.16535201257028,131.16535202945587
5,60,5,30,15.625,6.25,2.5,1,152.11546138137874,109.7971389554776,109.79713895393283,127.61635858636731,109.79713895884177
5,60,10,25,15.625,6.25,2.5,1,155.55182749774667,113.28761922859323,113.28761922691669,129.2469746298146,113.28761923193821
5,60,15,20,15.625,6.25,2.5,1,158.7745351624622,117.91358358589218,118.78941578547835,130.8793902512275,116.55883010779169
5,60,20,15,15.625,6.25,2.5,1,161.85051724230033,125.93690652120475,127.15572346026755,132.5135397788915,119.67920766772386
5,60,25,10,15.625,6.25,2.5,1,166.09786143893055,133.60747696198405,135.1902422406085,134.14936056621102,122.68888972311669
5,60,30,5,15.625,6.25,2.5,1,176.57572079019675,141.00306079864905,142.9690177725982,135.7867928217309,128.64740911946924
5,65,5,25,15.625,6.25,2.5,1,163.63902560184812,117.98052888084953,117.98052887936763,136.03989918233847,117.98052888422615
5,65,10,20,15.625,6.25,2.5,1,167.00170857821712,121.39248939827974,121.39248939665913,137.67384859447742,121.39248940165268
5,65,15,15,15.625,6.25,2.5,1,170.18297779675981,124.61849276286529,124.61849276114856,139.30940691105224,124.61849276616994
5,65,20,10,15.625,6.25,2.5,1,173.23501426212547,131.00392359148097,132.18912167671073,140.94651886391782,127.7118238765782
5,65,25,5,15.625,6.25,2.5,1,176.1899801622471,138.61979065441076,140.15709007456525,142.58513158948165,130.70534024866845
5,70,5,20,15.625,6.25,2.5,1,175.18812379258335,126.19075456623148,126.19075456482094,144.45288261092503,126.19075456961681
5,70,10,15,15.625,6.25,2.5,1,178.48457829839296,129.53236334046676,129.53236333889362,146.08987835335324,129.53236334385664
5,70,15,10,15.625,6.25,2.5,1,181.62592517331015,132.7151412998999,132.71514129824433,147.72832123275333,132.7151413032675
5,70,20,5,15.625,6.25,2.5,1,184.65323733780824,136.18232745652514,137.33853103020195,149.36816428419115,135.78098368015574
5,75,5,15,15.625,6.25,2.5,1,186.75669080471977,134.42142108004353,134.421421078714,152.8570736528063,134.42142108343387
5,75,10,10,15.625,6.25,2.5,1,189.99385385731156,137.70019828677337,137.70019828525704,154.49686111931396,137.70019829017647
5,75,15,5,15.625,6.25,2.5,1,193.09742166665373,140.8422936892927,140.84229368773535,156.1379572819548,140.84229369268485
5,80,5,10,15.625,6.25,2.5,1,198.34038544213143,142.6679576509568,142.66795764974776,161.25386189324198,142.66795765436353
5,80,10,5,15.625,6.25,2.5,1,201.52449288870966,145.89061721415544,145.89061721274965,162.89621501194745,145.89061721757153
5,85,5,5,15.625,6.25,2.5,1,209.936036393877,150.9270290094289,150.92702900840703,169.6443569827119,150.92702901284204
10,5,5,80,15.625,6.25,2.5,1,68.36530233381094,65.73983746098241,66.5605659844069,65.20392673010699,65.20392674662011
10,5,10,75,15.625,6.25,2.5,1,78.65968083254967,73.46868970773141,75.11873302448387,72.54245270645899,72.5424527227706
10,5,15,70,15.625,6.25,2.5,1,88.29795590959907,80.52674922364346,83.01707570984664,79.28882862048866,79.28882863698692
10,5,20,65,15.625,6.25,2.5,1,97.56013168052817,87.1717054103473,90.51315171347497,85.67419597414118,85.6741959906717
10,5,25,60,15.625,6.25,2.5,1,106.58345613532276,93.53375478044148,97.73636639050036,91.81468777831921,91.8146877948596
10,5,30,55,15.625,6.25,2.5,1,115.44521669042359,99.68904925491404,104.76190478006274,97.77777778604252,97.7777778025883
10,5,35,50,15.625,6.25,2.5,1,124.19283023604666,105.68643002803177,111.63763587166656,103.6064253468804,103.60642536343678
10,5,40,45,15.625,6.25,2.5,1,132.85714286044887,111.55928198934919,118.3960332458449,109.32977341772386,109.32977343429101
10,5,45,40,15.625,6.25,2.5,1,141.45910025887986,117.33151572739996,125.06018118961171,114.96853866639859,114.96853868298564
10,5,50,35,15.625,6.25,2.5,1,150.01340321695076,123.02087842491974,131.64709091889694,120.53798756874673,120.53798758534475
10,5,55,30,15.625,6.25,2.5,1,158.53064639870456,128.64091876036704,138.16966219322953,126.04969683203495,126.04969684864662
10,5,60,25,15.625,6.25,2.5,1,167.01863423400417,134.20221853345294,144.63790789595518,131.51265237721407,131.51265239384423
10,5,65,20,15.625,6.25,2.5,1,175.4832233898037,139.71319940814004,151.0597524001423,136.93396582114067,136.93396583778807
10,5,70,15,15.625,6.25,2.5,1,183.92887988198433,145.18067082270866,157.44157099177713,142.31935857431452,142.3193585909804
10,5,75,10,15.625,6.25,2.5,1,192.35905752862215,150.61021353813172,163.7885654155317,147.6734996860511,147.67349888581788
10,5,80,5,15.625,6.25,2.5,1,200.7764609693803,156.00645510045695,170.10503207783034,153.00024245487347,153.00024247157592
10,10,5,75,15.625,6.25,2.5,1,68.58176721555219,65.30198902214289,65.96491855912882,64.32749100509133,64.32749102161719
10,10,10,70,15.625,6.25,2.5,1,80.42640038487355,74.25155273368341,75.60358129925649,72.6356926062081,72.63569262599205
10,10,15,65,15.625,6.25,2.5,1,91.06688746349778,82.09190876440775,84.1555938230685,79.9686953021104,79.96869531830723
10,10,20,60,15.625,6.25,2.5,1,101.06663392579264,89.31747090198499,92.11256335279774,86.76768504889696,86.76768506869715
10,10,25,55,15.625,6.25,2.5,1,110.66813972249912,96.14398429698318,99.68798048308255,93.22425598105701,93.22425599760282
10,10,30,50,15.625,6.25,2.5,1,120.00000000330729,102.68783097410918,106.99634615281892,99.44116534278282,99.44116535933796
10,10,35,45,15.625,6.25,2.5,1,129.1389676518343,109.01990248480598,114.10694532537556,105.48059195063024,105.4805919671939
10,10,40,40,15.625,6.25,2.5,1,138.13451663459148,115.18697126904115,121.06515811163402,111.38326154513325,111.38326156170666
10,10,45,35,15.625,6.25,2.5,1,147.02031496824162,121.22170050500503,127.90242946533655,117.1773939565685,117.17739397315239
10,10,50,30,15.625,6.25,2.5,1,155.82021879369796,127.14789215975708,134.64148841673526,122.88338703261377,122.88338704920835
10,10,55,25,15.625,6.25,2.5,1,164.55166945688725,132.98347466001272,141.29931386125386,128.51647824350067,128.51647826009898
10,10,60,20,15.625,6.25,2.5,1,173.2277417219349,138.74231454168435,147.88892888674107,134.08835497586813,134.08835499238603
10,10,65,15,15.625,6.25,2.5,1,181.85844033022704,144.43537138268175,154.420541578868,139.60817833195765,139.60817834857835
10,10,70,10,15.625,6.25,2.5,1,190.45155363391427,150.07146470845672,160.90230015913178,145.0832608185143,145.08326083514677
